dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
2,4.386,4.398,0,0,0,0,0,0,30,14,1.287
0,4.398,4.405,0,0,0,0,0,0,130,90,0.258862
1,4.398,4.405,0,0,0,0,0,0,109,49,0.253922
2,4.398,4.405,0,0,0,0,0,0,36,17,1.29511
0,4.405,4.411,0,0,0,0,0,0,130,90,0.259148
1,4.405,4.411,0,0,0,0,0,0,111,48,0.258862
2,4.405,4.411,0,0,0,0,0,0,42,20,1.30264
0,4.411,4.416,0,0,0,0,0,0,130,90,0.261894
1,4.411,4.416,0,0,0,0,0,0,113,48,0.259149
2,4.411,4.416,0,0,0,0,0,0,48,23,1.30661
0,4.416,4.421,0,0,0,0,0,0,130,89,0.260003
1,4.416,4.421,0,0,0,0,0,0,115,50,0.261895
2,4.416,4.421,0,0,0,0,0,0,48,23,1.30661
0,4.421,4.465,0,0,0,0,0,0,130,89,0.331879
1,4.421,4.465,0,0,0,0,0,0,117,51,0.260005
2,4.421,4.465,0,0,0,0,0,0,48,23,1.30661
0,4.465,4.472,0,0,0,0,0,0,130,88,0.331028
1,4.465,4.472,0,0,0,0,0,0,118,52,0.331881
2,4.465,4.472,0,0,0,0,0,0,48,23,1.30661
0,4.472,4.486,0,0,0,0,0,0,130,88,0.40409
1,4.472,4.486,0,0,0,0,0,0,120,53,0.331027
2,4.472,4.486,0,0,0,0,0,0,48,23,1.30661
0,4.486,4.489,0,0,0,0,0,0,130,88,0.408972
1,4.486,4.489,0,0,0,0,0,0,124,57,0.404091
2,4.486,4.489,0,0,0,0,0,0,48,23,1.30661
0,4.489,4.507,0,0,0,0,0,0,130,88,0.409758
1,4.489,4.507,0,0,0,0,0,0,126,58,0.408971
2,4.489,4.507,0,0,0,0,0,0,48,23,1.30661
0,4.507,4.517,0,0,0,0,0,0,130,88,0.416205
1,4.507,4.517,0,0,0,0,0,0,128,55,0.409761
2,4.507,4.517,0,0,0,0,0,0,54,26,1.31038
0,4.517,4.523,0,0,0,0,0,0,130,88,0.433344
1,4.517,4.523,0,0,0,0,0,0,132,55,0.416207
2,4.517,4.523,0,0,0,0,0,0,72,37,1.39981
0,4.523,4.571,0,0,0,0,0,0,130,88,0.441087
1,4.523,4.571,0,0,0,0,0,0,134,54,0.433347
